Iteration	Posterior	Likelihood	Prior	alpha_morpho	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
2370	-1261.901	-1242.836	-19.06539	8.573013e+07	0.999863	0.999965	1.00004	1.00014	4.493107
2380	-1259.109	-1239.318	-19.79129	4.82004e+07	0.999817	0.999953	1.00005	1.00018	4.565696
2390	-1253.444	-1234.259	-19.18548	2.268331e+07	0.999733	0.999932	1.00007	1.00027	4.505115
2400	-1260.129	-1238.081	-22.04878	7.018265e+07	0.999848	0.999962	1.00004	1.00015	4.791445
2410	-1263.011	-1241.257	-21.75383	8.51774e+07	0.999862	0.999964	1.00004	1.00014	4.761951
2420	-1257.007	-1237.003	-20.00434	9.284673e+07	0.999868	0.999967	1.00003	1.00013	4.587002
2430	-1253.99	-1236.121	-17.86958	4.435961e+07	0.999809	0.999951	1.00005	1.00019	4.373525
2440	-1255.816	-1238.198	-17.61807	3.885358e+07	0.999796	0.999948	1.00005	1.0002	4.348375
2450	-1260.12	-1243.392	-16.72771	5.922379e+07	0.999835	0.999958	1.00004	1.00017	4.259338
2460	-1258.38	-1241.352	-17.02842	5.112509e+07	0.999822	0.999955	1.00005	1.00018	4.28941
2470	-1251.092	-1237.124	-13.96818	4.669833e+07	0.999814	0.999952	1.00005	1.00019	3.983386
2480	-1251.882	-1234.024	-17.8581	5.328912e+07	0.999826	0.999955	1.00004	1.00017	4.372378
2490	-1268.105	-1244.758	-23.34677	7.673766e+07	0.999855	0.999963	1.00004	1.00015	4.921245
2500	-1259.067	-1238.848	-20.21813	8.203879e+07	0.99986	0.999964	1.00004	1.00014	4.608381
2510	-1262.843	-1241.57	-21.27298	5.006016e+07	0.99982	0.999953	1.00005	1.00018	4.713866
2520	-1260.1	-1237.955	-22.1445	6.947203e+07	0.999848	0.999961	1.00004	1.00015	4.801018
2530	-1253.473	-1232.371	-21.1017	9.920391e+07	0.999872	0.999967	1.00003	1.00013	4.696738
2540	-1256.613	-1234.32	-22.29286	4.230354e+07	0.999805	0.99995	1.00005	1.0002	4.815853
2550	-1255.32	-1238.512	-16.80805	5.01004e+07	0.999821	0.999954	1.00005	1.00018	4.267373
2560	-1255.626	-1235.684	-19.94129	7.394096e+07	0.999852	0.999963	1.00004	1.00015	4.580697
2570	-1269.718	-1249.375	-20.3434	1.134839e+07	0.999623	0.999904	1.0001	1.00038	4.620907
2580	-1256.709	-1236.206	-20.5035	4.96337e+07	0.999819	0.999954	1.00005	1.00018	4.636918
2590	-1258.343	-1233.295	-25.04726	5.600855e+07	0.99983	0.999957	1.00004	1.00017	5.091294
2600	-1256.19	-1239.499	-16.69101	2.789373e+07	0.999759	0.999938	1.00006	1.00024	4.255668
2610	-1252.134	-1231.881	-20.25261	2.215775e+07	0.99973	0.999931	1.00007	1.00027	4.611829
2620	-1277.399	-1257.257	-20.14157	3.451072e+07	0.999783	0.999945	1.00006	1.00022	4.600725
